"q10","Residence Juris","Residence HB300"
1,"District of Columbia","Outside Maryland"
2,"Montgomery County","Montgomery"
3,"Prince George's County","Prince George's"
4,"Arlington County","Outside Maryland"
5,"Fairfax County","Outside Maryland"
6,"City of Falls Church","Outside Maryland"
7,"Other Virginia","Outside Maryland"
8,"Other Maryland","Other Maryland"
9,"City of Alexandria","Outside Maryland"
10,"City of Fairfax","Outside Maryland"
11,"Loudoun County","Outside Maryland"
95,"Elsewhere","Outside Maryland"
